deviceId,gpsTime,latitude,longitude,deviceSpeed,ignition,orientation,vehicleClass,is_cleaned,data_source,state,duration_secs,time_period,low_speed,poi_type,substate,substate_duration_sec
DEVICE005,1710486720000,23.129752,89.536203,17.3,True,116.5,3,True,processed,on-the-move,0.0,06:00-10:00,True,N/A,congestion,406.696809555219
DEVICE005,1710496200000,23.139195,89.528693,22.5,True,216.0,3,True,processed,on-the-move,0.0,06:00-10:00,True,parking,congestion,439.35857364508007
DEVICE005,1710496680000,23.129403,89.529623,49.2,True,2.7,3,True,processed,on-the-move,0.0,06:00-10:00,False,parking,normal_driving,266.96456125413516
DEVICE005,1710499980000,23.146369,89.534603,45.7,True,57.3,3,True,processed,on-the-move,0.0,10:00-14:00,False,warehouse,normal_driving,217.75108386773434
DEVICE005,1710504480000,23.132912,89.544505,3.3,False,343.2,3,True,processed,idling,584.7977901072979,10:00-14:00,True,N/A,queuing,584.7977901072979
DEVICE007,1710461640000,23.142537,89.568366,1.1,True,334.0,3,True,processed,idling,835.2931629384352,22:00-02:00,True,N/A,queuing,835.2931629384352
DEVICE008,1710462600000,23.130827,89.541608,2.3,True,202.3,3,True,processed,stopping,943.638560248283,22:00-02:00,True,N/A,resting,943.638560248283
DEVICE008,1710462780000,23.130812,89.541285,3.5,True,65.0,3,True,processed,stopping,576.3724236137937,22:00-02:00,True,N/A,resting,576.3724236137937
DEVICE009,1710463980000,23.10265,89.577976,0.1,True,341.8,3,True,processed,idling,2618.353200544227,22:00-02:00,True,parking,queuing,2618.353200544227
DEVICE009,1710467580000,23.102924,89.578148,1.6,True,284.9,3,True,processed,idling,945.6656741616775,22:00-02:00,True,parking,queuing,945.6656741616775
DEVICE009,1710471240000,23.102877,89.57791,2.1,True,125.1,3,True,processed,stopping,1115.5043126066298,02:00-06:00,True,parking,resting,1115.5043126066298
DEVICE010,1710462180000,23.113719,89.597099,1.2,True,307.8,3,True,processed,stopping,789.8048753370527,22:00-02:00,True,inn,resting,789.8048753370527
DEVICE010,1710462600000,23.113855,89.596855,1.6,True,330.4,3,True,processed,idling,321.4685197398977,22:00-02:00,True,inn,queuing,321.4685197398977
DEVICE010,1710465420000,23.11392,89.596913,1.0,True,230.3,3,True,processed,idling,3371.4675071147217,22:00-02:00,True,inn,queuing,3371.4675071147217
DEVICE010,1710470400000,23.11365,89.597016,0.7,True,134.8,3,True,processed,idling,3139.8961116487903,02:00-06:00,True,inn,queuing,3139.8961116487903
DEVICE010,1710471300000,23.11403,89.596937,0.7,True,85.1,3,True,processed,idling,2242.4828699306418,02:00-06:00,True,inn,queuing,2242.4828699306418
DEVICE010,1710471360000,23.113978,89.597076,1.2,True,200.9,3,True,processed,idling,191.5751229192032,02:00-06:00,True,inn,queuing,191.5751229192032
DEVICE010,1710475500000,23.113815,89.597039,3.9,True,62.1,3,True,processed,idling,1017.0725989647998,02:00-06:00,True,inn,queuing,1017.0725989647998
DEVICE010,1710476580000,23.11395,89.597129,1.5,True,315.0,3,True,processed,idling,695.7396516457957,02:00-06:00,True,inn,queuing,695.7396516457957
DEVICE010,1710482520000,23.11078,89.599281,19.0,True,299.2,3,True,processed,on-the-move,0.0,06:00-10:00,True,hotel,congestion,308.48887583429246
